kdno,kcno,ccno,kdname,exptime,papername
1101,1,1,Fudan University,2004-06-10 8:00,
1101,1,2,Fudan University,2004-06-10 8:20,
1101,1,3,Fudan University,2004-06-10 8:40,
1101,1,4,Fudan University,2004-06-10 9:00,
1101,1,5,Fudan University,2004-06-10 9:20,
1101,1,6,Fudan University,2004-06-10 9:50,
1101,1,7,Fudan University,2004-06-10 10:10,
1101,1,8,Fudan University,2004-06-10 10:30,
1101,1,9,Fudan University,2004-06-10 10:50,
1101,1,10,Fudan University,2004-06-10 11:10,
1101,1,11,Fudan University,2004-06-10 12:00,
1101,1,12,Fudan University,2004-06-10 12:20,
1101,1,13,Fudan University,2004-06-10 12:40,
1101,1,14,Fudan University,2004-06-10 13:00,
1101,1,15,Fudan University,2004-06-10 13:20,
1101,1,16,Fudan University,2004-06-10  13:40,
1101,1,17,Fudan University,2004-06-10 14:00,
1101,1,18,Fudan University,2004-06-10 14:20,
1101,1,19,Fudan University,2004-06-10 14:40,
1101,1,20,Fudan University,2004-06-10 15:20,
1101,1,21,Fudan University,2004-06-10 15:40,
1101,1,22,Fudan University,2004-06-10 16:00,
1101,1,23,Fudan University,2004-06-10 16:20,
1101,2,1,Fudan University,2004-06-10 8:00,
1101,2,2,Fudan University,2004-06-10 8:20,
1101,2,3,Fudan University,2004-06-10 8:40,
1101,2,4,Fudan University,2004-06-10 9:00,
1101,2,5,Fudan University,2004-06-10 9:20,
1101,2,6,Fudan University,2004-06-10 9:50,
1101,2,7,Fudan University,2004-06-10 10:10,
1101,2,8,Fudan University,2004-06-10 10:30,
1101,2,9,Fudan University,2004-06-10 10:50,
1101,2,10,Fudan University,2004-06-10 11:10,
1101,2,11,Fudan University,2004-06-10 12:00,
1101,2,12,Fudan University,2004-06-10 12:20,
1101,2,13,Fudan University,2004-06-10 12:40,
1101,2,14,Fudan University,2004-06-10 13:00,
1101,2,15,Fudan University,2004-06-10 13:20,
1101,2,16,Fudan University,2004-06-10 13:40,
1101,2,17,Fudan University,2004-06-10 14:00,
1101,2,18,Fudan University,2004-06-10 14:20,
1101,2,19,Fudan University,2004-06-10 14:40,
1101,2,20,Fudan University,2004-06-10 15:20,
1101,2,21,Fudan University,2004-06-10 15:40,
1101,2,22,Fudan University,2004-06-10 16:00,
1101,2,23,Fudan University,2004-06-10 16:20,
1101,2,24,Fudan University,2004-06-10 16:40,
